# Per-match per-placement kill counts for ALGS regional fits.
#
# Schema:
#   region          one of: americas / emea / apac_n / apac_s
#   tournament      stable slug per finals event, e.g. "2024-S1-Pro-League-Finals"
#   match_number    1-indexed match number within the event
#   placement       1..20 final placement in that match
#   team_kills      scored kills the team at that placement earned in that match
#
# Source: Liquipedia per-match Standings tables for ALGS Year 4 / Year 5
# regional Pro League Finals (the same 19-event dataset described in
# docs/data_validation.md section 2-B). Global Finals are stored under
# "global" if added later (currently out of scope for region fits).
#
# Authoritative fetch path (cycle 14 onward):
#   python -m tools.fetch_liquipedia_finals
#       --page <Liquipedia page path>
#       --region <apac_s|...> --tournament <slug>
#   The script pulls raw wikitext via the MediaWiki API and parses the
#   Bracket template's TeamOpponent / MS sub-templates. This replaces
#   the older manual-transcription rows whose origin was undocumented.
#
# Coverage as of cycle 14 backfill (apac_s 2024 events re-fetched from
# wikitext; 27/100 cells in S1 m1-m5 and 5/29 overlap cells in S2 m1-m6
# differed from the prior transcription -- wikitext values used):
#   americas:   2024 S1 (7 m), 2024 S2 (6 m), 2025 S1 (10 m), 2025 S2 (7 m)
#   emea:       2024 S1 (8 m), 2024 S2 (9 m), 2025 S1 (11 m), 2025 S2 (6 m)
#   apac_n:     2024 S1 (6 m), 2024 S2 (13 m), 2025 S1 (8 m), 2025 S2 (8 m)
#   apac_s:     2024 S1 (10 m), 2024 S2 (7 m), 2025 S1 (7 m), 2025 S2 (8 m)
#
# Filling rule: prefer the fetch script over manual transcription;
# preserve sort order region -> tournament -> match -> placement when
# appending or replacing rows.
region,tournament,match_number,placement,team_kills
americas,2025-S1-Pro-League-Finals,4,8,1
americas,2025-S1-Pro-League-Finals,4,9,5
americas,2025-S1-Pro-League-Finals,4,10,2
americas,2025-S1-Pro-League-Finals,4,11,3
americas,2025-S1-Pro-League-Finals,4,12,0
americas,2025-S1-Pro-League-Finals,4,13,3
americas,2025-S1-Pro-League-Finals,4,14,2
americas,2025-S1-Pro-League-Finals,4,15,3
americas,2025-S1-Pro-League-Finals,4,16,2
americas,2025-S1-Pro-League-Finals,4,17,1
americas,2025-S1-Pro-League-Finals,4,18,1
americas,2025-S1-Pro-League-Finals,4,19,0
americas,2025-S1-Pro-League-Finals,4,20,4
americas,2025-S1-Pro-League-Finals,5,1,2
americas,2025-S1-Pro-League-Finals,5,2,9
americas,2025-S1-Pro-League-Finals,5,3,7
americas,2025-S1-Pro-League-Finals,5,4,5
americas,2025-S1-Pro-League-Finals,5,5,8
americas,2025-S1-Pro-League-Finals,5,6,8
americas,2025-S1-Pro-League-Finals,5,7,1
americas,2025-S1-Pro-League-Finals,5,8,5
americas,2025-S1-Pro-League-Finals,5,9,5
americas,2025-S1-Pro-League-Finals,5,10,0
americas,2025-S1-Pro-League-Finals,5,11,0
americas,2025-S1-Pro-League-Finals,5,12,6
americas,2025-S1-Pro-League-Finals,5,13,0
americas,2025-S1-Pro-League-Finals,5,14,1
americas,2025-S1-Pro-League-Finals,5,15,8
americas,2025-S1-Pro-League-Finals,5,16,2
americas,2025-S1-Pro-League-Finals,5,17,1
americas,2025-S1-Pro-League-Finals,5,18,2
americas,2025-S1-Pro-League-Finals,5,19,0
americas,2025-S1-Pro-League-Finals,5,20,2
americas,2025-S1-Pro-League-Finals,6,1,1
americas,2025-S1-Pro-League-Finals,6,2,6
americas,2025-S1-Pro-League-Finals,6,3,0
americas,2025-S1-Pro-League-Finals,6,4,10
americas,2025-S1-Pro-League-Finals,6,5,8
americas,2025-S1-Pro-League-Finals,6,6,5
americas,2025-S1-Pro-League-Finals,6,7,2
americas,2025-S1-Pro-League-Finals,6,8,0
americas,2025-S1-Pro-League-Finals,6,9,0
americas,2025-S1-Pro-League-Finals,6,10,1
americas,2025-S1-Pro-League-Finals,6,11,8
americas,2025-S1-Pro-League-Finals,6,12,5
americas,2025-S1-Pro-League-Finals,6,13,5
americas,2025-S1-Pro-League-Finals,6,14,0
americas,2025-S1-Pro-League-Finals,6,15,0
americas,2025-S1-Pro-League-Finals,6,16,2
americas,2025-S1-Pro-League-Finals,6,17,3
americas,2025-S1-Pro-League-Finals,6,18,1
americas,2025-S1-Pro-League-Finals,6,19,1
americas,2025-S1-Pro-League-Finals,6,20,0
americas,2025-S1-Pro-League-Finals,7,1,5
americas,2025-S1-Pro-League-Finals,7,2,3
americas,2025-S1-Pro-League-Finals,7,3,3
americas,2025-S1-Pro-League-Finals,7,4,3
americas,2025-S1-Pro-League-Finals,7,5,5
americas,2025-S1-Pro-League-Finals,7,6,6
americas,2025-S1-Pro-League-Finals,7,7,5
americas,2025-S1-Pro-League-Finals,7,8,1
americas,2025-S1-Pro-League-Finals,7,9,5
americas,2025-S1-Pro-League-Finals,7,10,7
americas,2025-S1-Pro-League-Finals,7,11,0
americas,2025-S1-Pro-League-Finals,7,12,4
americas,2025-S1-Pro-League-Finals,7,13,0
americas,2025-S1-Pro-League-Finals,7,14,5
americas,2025-S1-Pro-League-Finals,7,15,3
americas,2025-S1-Pro-League-Finals,7,16,6
americas,2025-S1-Pro-League-Finals,7,17,0
americas,2025-S1-Pro-League-Finals,7,18,0
americas,2025-S1-Pro-League-Finals,7,19,2
americas,2025-S1-Pro-League-Finals,7,20,0
americas,2025-S1-Pro-League-Finals,8,1,6
americas,2025-S1-Pro-League-Finals,8,2,10
americas,2025-S1-Pro-League-Finals,8,3,3
americas,2025-S1-Pro-League-Finals,8,4,5
americas,2025-S1-Pro-League-Finals,8,5,2
americas,2025-S1-Pro-League-Finals,8,6,2
americas,2025-S1-Pro-League-Finals,8,7,3
americas,2025-S1-Pro-League-Finals,8,8,0
americas,2025-S1-Pro-League-Finals,8,9,0
americas,2025-S1-Pro-League-Finals,8,10,12
americas,2025-S1-Pro-League-Finals,8,11,1
americas,2025-S1-Pro-League-Finals,8,12,0
americas,2025-S1-Pro-League-Finals,8,13,6
americas,2025-S1-Pro-League-Finals,8,14,2
americas,2025-S1-Pro-League-Finals,8,15,1
americas,2025-S1-Pro-League-Finals,8,16,0
americas,2025-S1-Pro-League-Finals,8,17,0
americas,2025-S1-Pro-League-Finals,8,18,0
americas,2025-S1-Pro-League-Finals,8,19,2
americas,2025-S1-Pro-League-Finals,8,20,0
americas,2025-S1-Pro-League-Finals,9,1,3
americas,2025-S1-Pro-League-Finals,9,2,5
americas,2025-S1-Pro-League-Finals,9,3,2
americas,2025-S1-Pro-League-Finals,9,4,5
americas,2025-S1-Pro-League-Finals,9,5,1
americas,2025-S1-Pro-League-Finals,9,6,0
americas,2025-S1-Pro-League-Finals,9,7,4
americas,2025-S1-Pro-League-Finals,9,8,6
americas,2025-S1-Pro-League-Finals,9,9,9
americas,2025-S1-Pro-League-Finals,9,10,1
americas,2025-S1-Pro-League-Finals,9,11,2
americas,2025-S1-Pro-League-Finals,9,12,8
americas,2025-S1-Pro-League-Finals,9,13,5
americas,2025-S1-Pro-League-Finals,9,14,9
americas,2025-S1-Pro-League-Finals,9,15,0
americas,2025-S1-Pro-League-Finals,9,16,4
americas,2025-S1-Pro-League-Finals,9,17,1
americas,2025-S1-Pro-League-Finals,9,18,2
americas,2025-S1-Pro-League-Finals,9,19,2
americas,2025-S1-Pro-League-Finals,9,20,0
americas,2025-S1-Pro-League-Finals,10,1,15
americas,2025-S1-Pro-League-Finals,10,2,9
americas,2025-S1-Pro-League-Finals,10,3,0
americas,2025-S1-Pro-League-Finals,10,4,3
americas,2025-S1-Pro-League-Finals,10,5,3
americas,2025-S1-Pro-League-Finals,10,6,1
americas,2025-S1-Pro-League-Finals,10,7,2
americas,2025-S1-Pro-League-Finals,10,8,5
americas,2025-S1-Pro-League-Finals,10,9,1
americas,2025-S1-Pro-League-Finals,10,10,2
americas,2025-S1-Pro-League-Finals,10,11,0
americas,2025-S1-Pro-League-Finals,10,12,0
americas,2025-S1-Pro-League-Finals,10,13,3
americas,2025-S1-Pro-League-Finals,10,14,3
americas,2025-S1-Pro-League-Finals,10,15,1
americas,2025-S1-Pro-League-Finals,10,16,2
americas,2025-S1-Pro-League-Finals,10,17,3
americas,2025-S1-Pro-League-Finals,10,18,2
americas,2025-S1-Pro-League-Finals,10,19,4
americas,2025-S1-Pro-League-Finals,10,20,2
americas,2025-S2-Pro-League-Finals,1,1,11
americas,2025-S2-Pro-League-Finals,1,2,13
americas,2025-S2-Pro-League-Finals,1,3,7
americas,2025-S2-Pro-League-Finals,1,4,7
americas,2025-S2-Pro-League-Finals,1,5,4
americas,2025-S2-Pro-League-Finals,1,6,3
americas,2025-S2-Pro-League-Finals,1,7,0
americas,2025-S2-Pro-League-Finals,1,8,2
americas,2025-S2-Pro-League-Finals,1,9,3
americas,2025-S2-Pro-League-Finals,1,10,4
americas,2025-S2-Pro-League-Finals,1,11,9
americas,2025-S2-Pro-League-Finals,1,12,1
americas,2025-S2-Pro-League-Finals,1,13,2
americas,2025-S2-Pro-League-Finals,1,14,2
americas,2025-S2-Pro-League-Finals,1,15,3
americas,2025-S2-Pro-League-Finals,1,16,1
americas,2025-S2-Pro-League-Finals,1,17,0
americas,2025-S2-Pro-League-Finals,1,18,0
americas,2025-S2-Pro-League-Finals,1,19,0
americas,2025-S2-Pro-League-Finals,1,20,0
americas,2025-S2-Pro-League-Finals,2,1,13
americas,2025-S2-Pro-League-Finals,2,2,7
americas,2025-S2-Pro-League-Finals,2,3,4
americas,2025-S2-Pro-League-Finals,2,4,0
americas,2025-S2-Pro-League-Finals,2,5,5
americas,2025-S2-Pro-League-Finals,2,6,9
americas,2025-S2-Pro-League-Finals,2,7,3
americas,2025-S2-Pro-League-Finals,2,8,1
americas,2025-S2-Pro-League-Finals,2,9,0
americas,2025-S2-Pro-League-Finals,2,10,1
americas,2025-S2-Pro-League-Finals,2,11,6
americas,2025-S2-Pro-League-Finals,2,12,4
americas,2025-S2-Pro-League-Finals,2,13,2
americas,2025-S2-Pro-League-Finals,2,14,2
americas,2025-S2-Pro-League-Finals,2,15,0
americas,2025-S2-Pro-League-Finals,2,16,3
americas,2025-S2-Pro-League-Finals,2,17,1
americas,2025-S2-Pro-League-Finals,2,18,2
americas,2025-S2-Pro-League-Finals,2,19,1
americas,2025-S2-Pro-League-Finals,2,20,0
americas,2025-S2-Pro-League-Finals,3,1,13
americas,2025-S2-Pro-League-Finals,3,2,2
americas,2025-S2-Pro-League-Finals,3,3,5
americas,2025-S2-Pro-League-Finals,3,4,0
americas,2025-S2-Pro-League-Finals,3,5,7
americas,2025-S2-Pro-League-Finals,3,6,2
americas,2025-S2-Pro-League-Finals,3,7,12
americas,2025-S2-Pro-League-Finals,3,8,0
americas,2025-S2-Pro-League-Finals,3,9,5
americas,2025-S2-Pro-League-Finals,3,10,0
americas,2025-S2-Pro-League-Finals,3,11,1
americas,2025-S2-Pro-League-Finals,3,12,2
americas,2025-S2-Pro-League-Finals,3,13,1
americas,2025-S2-Pro-League-Finals,3,14,0
americas,2025-S2-Pro-League-Finals,3,15,3
americas,2025-S2-Pro-League-Finals,3,16,4
americas,2025-S2-Pro-League-Finals,3,17,0
americas,2025-S2-Pro-League-Finals,3,18,0
americas,2025-S2-Pro-League-Finals,3,19,0
americas,2025-S2-Pro-League-Finals,3,20,0
americas,2025-S2-Pro-League-Finals,4,1,8
americas,2025-S2-Pro-League-Finals,4,2,7
americas,2025-S2-Pro-League-Finals,4,3,10
americas,2025-S2-Pro-League-Finals,4,4,7
americas,2025-S2-Pro-League-Finals,4,5,2
americas,2025-S2-Pro-League-Finals,4,6,0
americas,2025-S2-Pro-League-Finals,4,7,0
americas,2025-S2-Pro-League-Finals,4,8,2
americas,2025-S2-Pro-League-Finals,4,9,3
americas,2025-S2-Pro-League-Finals,4,10,2
americas,2025-S2-Pro-League-Finals,4,11,2
americas,2025-S2-Pro-League-Finals,4,12,0
americas,2025-S2-Pro-League-Finals,4,13,6
americas,2025-S2-Pro-League-Finals,4,14,5
americas,2025-S2-Pro-League-Finals,4,15,3
americas,2025-S2-Pro-League-Finals,4,16,3
americas,2025-S2-Pro-League-Finals,4,17,0
americas,2025-S2-Pro-League-Finals,4,18,4
americas,2025-S2-Pro-League-Finals,4,19,0
americas,2025-S2-Pro-League-Finals,4,20,0
americas,2025-S2-Pro-League-Finals,5,1,9
americas,2025-S2-Pro-League-Finals,5,2,13
americas,2025-S2-Pro-League-Finals,5,3,4
americas,2025-S2-Pro-League-Finals,5,4,7
americas,2025-S2-Pro-League-Finals,5,5,5
americas,2025-S2-Pro-League-Finals,5,6,4
americas,2025-S2-Pro-League-Finals,5,7,7
americas,2025-S2-Pro-League-Finals,5,8,5
americas,2025-S2-Pro-League-Finals,5,9,1
americas,2025-S2-Pro-League-Finals,5,10,3
americas,2025-S2-Pro-League-Finals,5,11,0
americas,2025-S2-Pro-League-Finals,5,12,0
americas,2025-S2-Pro-League-Finals,5,13,4
americas,2025-S2-Pro-League-Finals,5,14,1
americas,2025-S2-Pro-League-Finals,5,15,1
americas,2025-S2-Pro-League-Finals,5,16,2
americas,2025-S2-Pro-League-Finals,5,17,4
americas,2025-S2-Pro-League-Finals,5,18,0
americas,2025-S2-Pro-League-Finals,5,19,3
americas,2025-S2-Pro-League-Finals,5,20,1
americas,2025-S2-Pro-League-Finals,6,1,8
americas,2025-S2-Pro-League-Finals,6,2,4
americas,2025-S2-Pro-League-Finals,6,3,7
americas,2025-S2-Pro-League-Finals,6,4,4
americas,2025-S2-Pro-League-Finals,6,5,0
americas,2025-S2-Pro-League-Finals,6,6,2
americas,2025-S2-Pro-League-Finals,6,7,0
americas,2025-S2-Pro-League-Finals,6,8,9
americas,2025-S2-Pro-League-Finals,6,9,6
americas,2025-S2-Pro-League-Finals,6,10,1
americas,2025-S2-Pro-League-Finals,6,11,0
americas,2025-S2-Pro-League-Finals,6,12,2
americas,2025-S2-Pro-League-Finals,6,13,0
americas,2025-S2-Pro-League-Finals,6,14,6
americas,2025-S2-Pro-League-Finals,6,15,7
americas,2025-S2-Pro-League-Finals,6,16,2
americas,2025-S2-Pro-League-Finals,6,17,0
americas,2025-S2-Pro-League-Finals,6,18,5
americas,2025-S2-Pro-League-Finals,6,19,1
americas,2025-S2-Pro-League-Finals,6,20,1
americas,2025-S2-Pro-League-Finals,7,1,15
americas,2025-S2-Pro-League-Finals,7,2,8
americas,2025-S2-Pro-League-Finals,7,3,2
americas,2025-S2-Pro-League-Finals,7,4,8
americas,2025-S2-Pro-League-Finals,7,5,2
americas,2025-S2-Pro-League-Finals,7,6,4
americas,2025-S2-Pro-League-Finals,7,7,4
americas,2025-S2-Pro-League-Finals,7,8,0
americas,2025-S2-Pro-League-Finals,7,9,3
americas,2025-S2-Pro-League-Finals,7,10,1
americas,2025-S2-Pro-League-Finals,7,11,0
americas,2025-S2-Pro-League-Finals,7,12,1
americas,2025-S2-Pro-League-Finals,7,13,1
americas,2025-S2-Pro-League-Finals,7,14,7
americas,2025-S2-Pro-League-Finals,7,15,1
americas,2025-S2-Pro-League-Finals,7,16,0
americas,2025-S2-Pro-League-Finals,7,17,3
americas,2025-S2-Pro-League-Finals,7,18,2
americas,2025-S2-Pro-League-Finals,7,19,0
americas,2025-S2-Pro-League-Finals,7,20,0
apac_n,2024-S1-Pro-League-Finals,1,1,14
apac_n,2024-S1-Pro-League-Finals,1,2,8
apac_n,2024-S1-Pro-League-Finals,1,3,5
apac_n,2024-S1-Pro-League-Finals,1,4,7
apac_n,2024-S1-Pro-League-Finals,1,5,3
apac_n,2024-S1-Pro-League-Finals,1,6,1
apac_n,2024-S1-Pro-League-Finals,1,7,1
apac_n,2024-S1-Pro-League-Finals,1,8,5
apac_n,2024-S1-Pro-League-Finals,1,9,1
apac_n,2024-S1-Pro-League-Finals,1,10,3
apac_n,2024-S1-Pro-League-Finals,1,11,0
apac_n,2024-S1-Pro-League-Finals,1,12,2
apac_n,2024-S1-Pro-League-Finals,1,13,0
apac_n,2024-S1-Pro-League-Finals,1,14,4
apac_n,2024-S1-Pro-League-Finals,1,15,1
apac_n,2024-S1-Pro-League-Finals,1,16,0
apac_n,2024-S1-Pro-League-Finals,1,17,0
apac_n,2024-S1-Pro-League-Finals,1,18,0
apac_n,2024-S1-Pro-League-Finals,1,19,0
apac_n,2024-S1-Pro-League-Finals,1,20,3
apac_n,2024-S1-Pro-League-Finals,2,1,10
apac_n,2024-S1-Pro-League-Finals,2,2,4
apac_n,2024-S1-Pro-League-Finals,2,3,7
apac_n,2024-S1-Pro-League-Finals,2,4,1
apac_n,2024-S1-Pro-League-Finals,2,5,5
apac_n,2024-S1-Pro-League-Finals,2,6,9
apac_n,2024-S1-Pro-League-Finals,2,7,11
apac_n,2024-S1-Pro-League-Finals,2,8,4
apac_n,2024-S1-Pro-League-Finals,2,9,0
apac_n,2024-S1-Pro-League-Finals,2,10,2
apac_n,2024-S1-Pro-League-Finals,2,11,0
apac_n,2024-S1-Pro-League-Finals,2,12,3
apac_n,2024-S1-Pro-League-Finals,2,13,0
apac_n,2024-S1-Pro-League-Finals,2,14,0
apac_n,2024-S1-Pro-League-Finals,2,15,0
apac_n,2024-S1-Pro-League-Finals,2,16,0
apac_n,2024-S1-Pro-League-Finals,2,17,1
apac_n,2024-S1-Pro-League-Finals,2,18,0
apac_n,2024-S1-Pro-League-Finals,2,19,0
apac_n,2024-S1-Pro-League-Finals,2,20,2
apac_n,2024-S1-Pro-League-Finals,3,1,14
apac_n,2024-S1-Pro-League-Finals,3,2,6
apac_n,2024-S1-Pro-League-Finals,3,3,6
apac_n,2024-S1-Pro-League-Finals,3,4,3
apac_n,2024-S1-Pro-League-Finals,3,5,4
apac_n,2024-S1-Pro-League-Finals,3,6,4
apac_n,2024-S1-Pro-League-Finals,3,7,1
apac_n,2024-S1-Pro-League-Finals,3,8,1
apac_n,2024-S1-Pro-League-Finals,3,9,1
apac_n,2024-S1-Pro-League-Finals,3,10,6
apac_n,2024-S1-Pro-League-Finals,3,11,2
apac_n,2024-S1-Pro-League-Finals,3,12,3
apac_n,2024-S1-Pro-League-Finals,3,13,3
apac_n,2024-S1-Pro-League-Finals,3,14,7
apac_n,2024-S1-Pro-League-Finals,3,15,0
apac_n,2024-S1-Pro-League-Finals,3,16,3
apac_n,2024-S1-Pro-League-Finals,3,17,0
apac_n,2024-S1-Pro-League-Finals,3,18,0
apac_n,2024-S1-Pro-League-Finals,3,19,0
apac_n,2024-S1-Pro-League-Finals,3,20,1
apac_n,2024-S1-Pro-League-Finals,4,1,15
apac_n,2024-S1-Pro-League-Finals,4,2,7
apac_n,2024-S1-Pro-League-Finals,4,3,6
apac_n,2024-S1-Pro-League-Finals,4,4,0
apac_n,2024-S1-Pro-League-Finals,4,5,3
apac_n,2024-S1-Pro-League-Finals,4,6,3
apac_n,2024-S1-Pro-League-Finals,4,7,4
apac_n,2024-S1-Pro-League-Finals,4,8,0
apac_n,2024-S1-Pro-League-Finals,4,9,0
apac_n,2024-S1-Pro-League-Finals,4,10,4
apac_n,2024-S1-Pro-League-Finals,4,11,3
apac_n,2024-S1-Pro-League-Finals,4,12,2
apac_n,2024-S1-Pro-League-Finals,4,13,1
apac_n,2024-S1-Pro-League-Finals,4,14,0
apac_n,2024-S1-Pro-League-Finals,4,15,2
apac_n,2024-S1-Pro-League-Finals,4,16,2
apac_n,2024-S1-Pro-League-Finals,4,17,2
apac_n,2024-S1-Pro-League-Finals,4,18,9
apac_n,2024-S1-Pro-League-Finals,4,19,1
apac_n,2024-S1-Pro-League-Finals,4,20,0
apac_n,2024-S1-Pro-League-Finals,5,1,9
apac_n,2024-S1-Pro-League-Finals,5,2,7
apac_n,2024-S1-Pro-League-Finals,5,3,11
apac_n,2024-S1-Pro-League-Finals,5,4,1
apac_n,2024-S1-Pro-League-Finals,5,5,10
apac_n,2024-S1-Pro-League-Finals,5,6,0
apac_n,2024-S1-Pro-League-Finals,5,7,5
apac_n,2024-S1-Pro-League-Finals,5,8,0
apac_n,2024-S1-Pro-League-Finals,5,9,2
apac_n,2024-S1-Pro-League-Finals,5,10,2
apac_n,2024-S1-Pro-League-Finals,5,11,0
apac_n,2024-S1-Pro-League-Finals,5,12,0
apac_n,2024-S1-Pro-League-Finals,5,13,1
apac_n,2024-S1-Pro-League-Finals,5,14,1
apac_n,2024-S1-Pro-League-Finals,5,15,5
apac_n,2024-S1-Pro-League-Finals,5,16,1
apac_n,2024-S1-Pro-League-Finals,5,17,0
apac_n,2024-S1-Pro-League-Finals,5,18,0
apac_n,2024-S1-Pro-League-Finals,5,19,0
apac_n,2024-S1-Pro-League-Finals,5,20,1
apac_n,2024-S1-Pro-League-Finals,6,1,5
apac_n,2024-S1-Pro-League-Finals,6,2,10
apac_n,2024-S1-Pro-League-Finals,6,3,1
apac_n,2024-S1-Pro-League-Finals,6,4,1
apac_n,2024-S1-Pro-League-Finals,6,5,4
apac_n,2024-S1-Pro-League-Finals,6,6,3
apac_n,2024-S1-Pro-League-Finals,6,7,0
apac_n,2024-S1-Pro-League-Finals,6,8,0
apac_n,2024-S1-Pro-League-Finals,6,9,6
apac_n,2024-S1-Pro-League-Finals,6,10,4
apac_n,2024-S1-Pro-League-Finals,6,11,3
apac_n,2024-S1-Pro-League-Finals,6,12,4
apac_n,2024-S1-Pro-League-Finals,6,13,1
apac_n,2024-S1-Pro-League-Finals,6,14,1
apac_n,2024-S1-Pro-League-Finals,6,15,2
apac_n,2024-S1-Pro-League-Finals,6,16,0
apac_n,2024-S1-Pro-League-Finals,6,17,0
apac_n,2024-S1-Pro-League-Finals,6,18,0
apac_n,2024-S1-Pro-League-Finals,6,19,8
apac_n,2024-S1-Pro-League-Finals,6,20,0
apac_n,2024-S2-Pro-League-Finals,1,1,7
apac_n,2024-S2-Pro-League-Finals,1,2,12
apac_n,2024-S2-Pro-League-Finals,1,3,3
apac_n,2024-S2-Pro-League-Finals,1,4,5
apac_n,2024-S2-Pro-League-Finals,1,5,4
apac_n,2024-S2-Pro-League-Finals,1,6,0
apac_n,2024-S2-Pro-League-Finals,1,7,1
apac_n,2024-S2-Pro-League-Finals,1,8,0
apac_n,2024-S2-Pro-League-Finals,1,9,0
apac_n,2024-S2-Pro-League-Finals,1,10,5
apac_n,2024-S2-Pro-League-Finals,1,11,6
apac_n,2024-S2-Pro-League-Finals,1,12,2
apac_n,2024-S2-Pro-League-Finals,1,13,0
apac_n,2024-S2-Pro-League-Finals,1,14,2
apac_n,2024-S2-Pro-League-Finals,1,15,0
apac_n,2024-S2-Pro-League-Finals,1,16,0
apac_n,2024-S2-Pro-League-Finals,1,17,0
apac_n,2024-S2-Pro-League-Finals,1,18,0
apac_n,2024-S2-Pro-League-Finals,1,19,3
apac_n,2024-S2-Pro-League-Finals,1,20,0
apac_n,2024-S2-Pro-League-Finals,2,1,13
apac_n,2024-S2-Pro-League-Finals,2,2,9
apac_n,2024-S2-Pro-League-Finals,2,3,3
